analyst,avg_days_to_target,avg_difference,num_never_hit_pt,total_predictions,prop
AARON RAKERS,113.5,4.637500000000001,3,19,0.15789473684210525
AMIT DARYANANI,133.0,3.7159999999999997,0,10,0.0
BLAYNE CURTIS,171.57692307692307,4.720769230769231,0,26,0.0
C J MUSE,94.8,5.791999999999999,3,8,0.375
CHRISTOPHER DANELY,82.27272727272727,3.022272727272727,9,53,0.16981132075471697
CHRISTOPHER ROLLAND,153.3409090909091,3.998409090909091,3,47,0.06382978723404255
GUS RICHARD,161.69230769230768,6.644230769230769,10,36,0.2777777777777778
HARLAN SUR,135.66666666666666,5.734166666666667,2,14,0.14285714285714285
INGO WERMANN,16.333333333333332,3.321666666666666,1,7,0.14285714285714285
IVAN FEINSETH,92.0,10.86,2,3,0.6666666666666666
JIM KELLEHER,106.5,8.920000000000002,0,4,0.0
JOSEPH MOORE,228.35135135135135,5.196486486486487,11,48,0.22916666666666666
KEVIN CASSIDY,188.75,4.631875,2,18,0.1111111111111111
MATTHEW BRYSON,182.28571428571428,5.947142857142857,0,14,0.0
MATTHEW PRISCO,8.0,2.5700000000000003,0,1,0.0
QUINN BOLTON,124.38461538461539,4.94923076923077,3,16,0.1875
ROSS SEYMORE,174.51282051282053,5.481282051282051,3,42,0.07142857142857142
RUBEN ROY,165.9655172413793,5.128620689655173,0,29,0.0
RYAN MACWILLIAMS,191.5,5.590000000000002,0,2,0.0
SRINI PAJJURI,83.6,5.595999999999999,3,13,0.23076923076923078
SUJI DESILVA,109.57142857142857,5.187619047619048,2,23,0.08695652173913043
TIMOTHY ARCURI,236.15625,3.5278125,9,41,0.21951219512195122
TOM O'MALLEY,154.33333333333334,3.3800000000000012,0,3,0.0
TRISTAN GERRA,207.3,7.5015,5,25,0.2
VIJAY RAKESH,132.4102564102564,4.168717948717949,8,47,0.1702127659574468
VIVEK ARYA,100.65384615384616,5.161153846153846,4,30,0.13333333333333333
WILLIAM STEIN,51.04347826086956,2.450869565217391,4,27,0.14814814814814814
